,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3646,CSS1104121040644116540,46,40,34,49,44,11,3,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,3,6,5,3,7,37,26,68,69,0
3647,CSS1104120070664106957,38,35,29,45,56,16,6,2,2,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,3,3,6,5,3,4,38,31,67,65,0
3648,CSS1104120040704127317,46,41,34,42,33,15,13,5,1,2,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,2,5,4,3,7,35,27,63,77,5
3649,CSS1104110041124106204,46,40,32,43,48,10,5,1,1,4,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,2,4,3,3,11,33,27,67,73,6
3650,CSS1104081380574122732,36,30,29,44,53,22,9,2,2,2,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,3,7,4,3,2,33,30,70,71,5
3651,CSS1104081350674124994,35,31,28,40,53,29,11,2,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,2,3,31,29,69,72,0
3652,CSS1104081350624104202,24,23,22,40,72,31,9,4,2,3,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,3,6,4,3,3,31,29,68,74,0
3653,CSS1104081350584137229,34,31,29,45,62,18,7,2,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,3,6,4,3,2,33,30,72,70,5
3654,CSS1104081260664107222,29,27,25,44,67,24,7,3,2,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,3,3,6,5,3,3,34,32,70,68,0
3655,CSS1104081230564126079,26,26,24,43,71,28,8,2,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,5,4,3,6,35,31,72,67,5
3656,CSS1104061320694106837,47,33,27,44,50,17,6,3,3,2,0,0,0,0,1,1,1,1,0,0,1,0,1,1,2,3,5,4,3,4,33,29,67,74,5
3657,CSS1104061320674107078,42,35,27,43,58,13,5,2,2,3,1,0,0,0,1,1,1,1,0,0,1,1,1,1,3,3,6,4,2,2,33,30,73,69,5
