,Unnamed: 0,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
10443,10443,MLS1102131110244107042,30,30,28,45,62,22,8,3,2,1,0,0,0,0,1,2,2,1,0,0,0,0,1,1,3,3,8,7,5,5,53,44,83,14,5
10444,10444,MLS1102131100254103282,80,54,29,35,23,7,1,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,4,8,7,5,6,56,46,83,8,5
10445,10445,MLS1102121181384114568,21,22,24,40,71,36,14,1,0,0,0,0,0,0,1,8,6,3,0,0,0,0,0,0,3,5,8,0,20,27,69,46,35,0,0
10446,10446,MLS1102121181384101313,106,39,21,0,12,0,0,0,0,50,0,0,0,0,0,11,7,4,0,0,0,0,0,0,3,5,0,0,7,28,58,40,67,0,5
10447,10447,MLS1102121181374100823,21,15,15,34,49,33,26,19,15,3,0,0,0,0,0,8,5,3,0,0,0,0,0,0,2,6,10,0,20,16,61,26,74,0,1
10448,10448,MLS1102121161174115256,41,30,14,12,44,44,36,5,1,0,0,0,0,0,1,6,5,2,0,0,0,0,0,1,0,15,14,1,1,2,61,37,63,23,5
10450,10450,MLS1102111211284105836,23,24,20,36,70,45,11,1,0,0,0,0,0,0,1,6,5,2,0,0,0,0,0,0,4,8,4,10,5,5,64,45,61,12,0
10451,10451,MLS1102111131244105159,24,23,22,38,70,37,11,4,1,0,0,0,0,0,1,3,3,1,1,0,0,0,0,0,3,6,7,9,5,4,45,44,84,16,5
10452,10452,MLS1102111071334117801,41,27,16,17,33,65,30,1,0,0,0,0,0,0,1,9,7,3,0,0,0,0,0,0,12,6,6,0,0,0,63,40,80,0,0
10456,10456,MLS1102110001754104376,57,42,30,43,39,5,1,0,0,0,11,0,0,0,1,4,3,2,0,0,0,1,0,1,1,5,5,9,4,11,52,47,78,8,5
10457,10457,MLS1102101260944102569,49,40,32,44,52,9,1,1,0,0,0,0,0,0,1,5,4,2,0,0,0,0,0,0,4,2,4,8,8,9,62,55,68,0,5
10458,10458,MLS1102101240974101901,120,64,16,3,11,5,4,3,2,1,0,0,0,0,1,2,2,1,1,0,0,0,0,1,3,3,9,6,5,11,46,43,82,17,0
10459,10459,MLS1102101240964109941,31,31,29,49,68,15,4,1,1,1,0,0,0,0,1,2,2,1,0,0,0,0,0,1,3,3,9,6,5,11,49,44,81,15,0
10460,10460,MLS1102101230964102463,27,26,24,44,71,27,7,2,1,1,0,0,0,0,1,2,2,1,0,0,0,0,1,1,3,3,7,6,6,13,52,46,79,11,0
10462,10462,MLS1102101221244101661,33,31,31,40,56,31,5,0,0,0,0,0,0,0,0,10,7,4,0,0,0,0,0,0,8,8,15,0,0,3,67,47,61,0,0
10463,10463,MLS1102101211174111493,25,25,26,42,55,36,17,3,2,0,0,0,0,0,1,6,5,2,0,0,0,0,0,1,5,5,7,4,7,4,66,38,71,11,0
10464,10464,MLS1102101201184116330,23,21,20,33,76,37,14,4,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,4,3,10,5,3,9,56,51,75,8,0
10465,10465,MLS1102101201184102094,41,35,34,53,58,7,1,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,3,4,9,5,3,8,58,49,78,7,0
10466,10466,MLS1102101201064104610,32,31,30,49,66,16,3,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,3,8,6,5,12,55,44,82,10,0
10467,10467,MLS1102101181214103893,28,21,22,37,76,34,9,2,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,2,3,5,6,6,6,9,66,52,66,3,5
10468,10468,MLS1102101181214100891,36,29,23,42,71,21,6,1,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,1,2,5,7,6,7,9,67,52,65,3,0
10469,10469,MLS1102101181194116086,55,40,28,36,46,21,3,1,0,0,0,0,0,0,1,3,2,1,0,0,0,0,1,1,3,3,9,5,3,12,60,50,72,9,0
10470,10470,MLS1102101171224114167,41,27,23,40,61,23,11,3,1,0,0,0,0,0,1,3,2,1,0,1,0,0,1,1,3,3,7,7,4,8,54,43,85,10,5
10471,10471,MLS1102101171224101859,33,33,30,51,68,12,3,1,0,0,0,0,0,0,1,2,2,1,0,1,0,0,1,1,3,4,7,7,4,6,54,44,84,12,0
10472,10472,MLS1102101171134116409,103,57,18,9,21,18,2,1,0,0,0,0,0,0,1,3,2,1,1,0,0,0,1,1,4,3,7,5,5,15,54,37,83,14,5
10473,10473,MLS1102101171124102286,39,34,28,38,65,22,2,1,0,0,0,0,0,0,1,2,2,1,1,0,0,1,1,1,3,4,7,6,6,8,50,47,82,11,0
10474,10474,MLS1102101171114116046,40,31,27,38,53,33,6,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,3,3,7,6,6,12,51,38,84,16,0
10475,10475,MLS1102101161234109450,38,29,20,34,68,28,8,2,1,1,3,0,0,0,1,2,2,1,0,0,0,0,0,1,3,4,7,7,5,8,51,36,86,19,0
10476,10476,MLS1102101111414115305,31,28,24,46,69,25,5,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,3,4,8,6,6,7,51,36,85,22,0
10478,10478,MLS1102101091414105588,52,39,26,37,59,11,2,1,1,3,0,0,0,0,1,2,2,1,0,0,0,0,0,0,2,5,6,5,4,9,53,46,79,16,5
10479,10479,MLS1102101091414102034,28,26,25,45,74,25,4,1,1,0,0,0,0,0,1,2,2,1,0,0,0,1,0,0,3,4,7,6,5,9,53,45,80,14,0
10480,10480,MLS1102101091394112172,34,30,27,48,63,24,2,0,0,0,0,0,0,0,1,4,2,1,0,0,1,0,0,0,1,6,8,7,7,6,55,39,73,22,0
10481,10481,MLS1102101091374107379,27,25,27,44,75,25,4,1,0,0,0,0,0,0,1,4,3,2,0,0,0,0,0,1,2,3,11,6,2,4,47,36,88,20,5
10482,10482,MLS1102101081434113315,52,40,19,32,59,20,2,2,4,2,0,0,0,0,1,3,3,1,0,0,0,0,0,0,2,6,4,6,6,14,45,52,78,9,5
10483,10483,MLS1102101081404102104,60,34,13,17,40,8,11,34,9,3,0,0,0,0,1,5,4,2,0,0,0,0,0,0,1,2,8,5,3,6,56,45,74,19,5
10484,10484,MLS1102101081394102608,21,22,19,41,71,33,15,5,2,1,0,0,0,0,1,5,4,2,0,0,0,0,0,0,3,4,11,3,5,3,64,44,64,19,0
10485,10485,MLS1102101071404114217,63,43,28,48,46,1,0,0,0,0,0,0,0,0,1,6,5,2,0,0,0,0,0,0,0,10,10,6,5,5,74,55,54,0,0
10486,10486,MLS1102101071404101579,31,28,25,45,75,22,3,0,0,0,0,0,0,0,1,6,5,2,0,0,0,0,0,0,0,10,10,6,5,5,74,55,54,0,0
10487,10487,MLS1102101071394107473,58,23,25,36,70,15,0,0,0,0,0,0,0,0,1,5,5,2,0,0,0,0,0,0,1,8,13,4,3,2,70,57,59,0,2
10488,10488,MLS1102101071364114178,24,23,24,39,75,33,9,2,1,0,0,0,0,0,1,8,6,3,0,2,0,0,0,0,8,10,8,7,8,7,49,43,73,0,0
10490,10490,MLS1102100162074119622,32,29,27,39,67,22,6,1,1,5,0,0,0,0,1,3,3,1,0,0,0,0,0,1,2,4,9,5,4,2,49,34,81,32,5
10491,10491,MLS1102100071804112036,52,43,33,55,45,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,4,10,7,4,3,54,45,80,14,0
10492,10492,MLS1102100031704117940,24,21,22,31,59,47,20,5,1,0,0,0,0,0,1,3,3,1,0,0,0,1,0,0,3,5,11,6,3,1,59,50,75,10,0
10493,10493,MLS1102100021694115300,42,40,32,51,50,9,4,2,1,1,0,0,0,0,1,2,2,2,1,0,0,1,0,0,2,6,8,5,3,2,50,38,80,28,0
10494,10494,MLS1102100001714106127,29,28,24,39,78,24,6,1,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,2,4,9,6,3,3,54,44,83,15,0
10495,10495,MLS1102091231004119863,34,32,28,47,62,14,5,3,2,2,0,0,0,0,1,2,2,1,0,0,0,0,1,1,4,4,8,6,5,9,53,44,85,9,0
10496,10496,MLS1102091231004102250,46,37,28,39,49,20,5,3,1,1,0,0,0,0,1,3,2,1,0,0,0,0,0,1,5,4,9,7,6,11,55,46,74,9,0
10497,10497,MLS1102091171164108277,39,35,30,49,59,14,2,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,4,5,7,8,4,10,48,44,85,9,0
10498,10498,MLS1102091101354108869,32,31,28,47,65,22,4,1,0,0,0,0,0,0,1,3,3,1,0,0,0,0,1,1,3,5,11,8,4,6,41,38,88,20,0
10500,10500,MLS1102081220984126022,34,30,26,44,67,23,4,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0,1,1,3,3,7,6,5,13,55,46,80,9,0
