,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3418,CSS1010291180264169858,21,20,19,34,60,31,15,11,10,9,1,0,0,0,1,1,1,1,1,1,0,1,1,1,3,3,6,6,4,7,39,23,47,88,2
3419,CSS1010291040204101820,84,64,38,29,10,2,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,3,6,4,3,3,35,32,74,63,3
3420,CSS1010291010204113719,48,41,33,41,41,8,5,2,4,8,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,3,3,34,32,74,63,5
3421,CSS1010281290074137474,50,43,33,40,41,15,5,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,3,3,6,4,3,4,35,31,68,71,5
3422,CSS1010280150184125549,61,45,30,33,25,14,15,5,0,0,0,0,0,0,1,2,1,1,1,0,1,0,1,1,3,3,7,3,2,1,36,32,74,62,5
3423,CSS1010191380774115803,36,33,29,45,54,18,6,3,2,4,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,4,2,2,12,31,30,65,73,5
3424,CSS1010190150134113452,50,43,31,32,25,9,11,25,4,1,0,0,0,0,1,2,1,1,0,0,0,1,1,2,3,3,7,3,1,1,35,33,71,66,5
3425,CSS1010171260094102098,44,39,31,38,37,13,7,3,7,12,0,0,0,0,1,1,1,1,1,0,1,1,1,1,3,3,6,4,3,4,34,32,68,70,5
3426,CSS1010140210074119678,14,14,14,25,49,39,31,26,13,6,0,0,0,0,1,2,2,1,0,1,0,1,1,2,4,5,8,3,1,0,33,31,84,53,1
3427,CSS1010140090174125659,45,34,25,34,44,26,8,7,1,6,0,0,0,0,1,2,1,1,1,0,1,0,1,1,3,4,7,3,3,3,38,34,72,60,2
3428,CSS1010131180114127827,96,42,12,10,8,18,3,7,12,23,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,3,5,4,3,4,35,28,74,67,4
3429,CSS1010130090154101363,34,32,29,43,48,21,14,6,2,1,0,0,0,0,1,2,1,1,0,0,1,0,1,1,3,4,6,3,2,2,36,32,75,63,5
3430,CSS1010130070244116923,27,27,26,45,71,25,7,2,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,5,4,3,3,36,34,74,61,0
3431,CSS1010130070124115794,58,50,37,44,34,5,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,2,2,35,32,75,63,6
3432,CSS1010130070124104320,53,45,35,43,38,12,2,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,3,3,6,4,2,2,35,32,75,63,5
