,amplitude,anderson_darling_test,eta_e,gskew,linearTrend,maxSlope,mean,meanVariance,mean_variance,medianAbsDev,medianBRP,pairSlopeTrend,percentAmplitude,percentDifferenceFluxPercentile,q31,rcs,smallKurtosis,std,tag
623,0.8042005000000003,1.0,0.02224248000239273,-1.0607000000000042,0.00010146275926438388,0.05640424067087304,20.391806619164623,0.0187618306752398,0.0187618306752398,0.1625989999999966,0.714987714987715,-0.03333333333333333,0.09201085469751448,0.05901203689229318,0.3254994999999994,0.055856787995139164,5.876219643773679,0.3825876229510008,3.0
624,0.7493999999999996,0.9999999980930965,7.9396520502914205,-0.39119999999999777,0.0001263958393173606,0.08531879187501178,20.27157524324324,0.021551784931743683,0.021551784931743683,0.33270100000000014,0.3783783783783784,-0.1,0.08655239024486389,0.06749163500534668,0.6110000000000007,0.08521178109349943,0.48522572019775456,0.43688862987003796,5.0
625,1.3324500000000015,0.9999999990060402,7.0648756060993,-0.5821000000000041,2.905034877941305e-05,12.34467244866461,19.683901392655365,0.040185938495342986,0.040185938495342986,0.6186000000000007,0.3672316384180791,-0.03333333333333333,0.1447653050349415,0.1219987515415417,1.242048999999998,0.09013878597669892,-0.4711745986354181,0.7910160507136447,1.0
626,0.6083499999999997,1.0,0.015723505096952018,-0.5040994999999953,9.722010145756514e-05,0.055259586872602934,20.316923653543313,0.016118605460260647,0.016118605460260647,0.16730100000000192,0.41732283464566927,-0.03333333333333333,0.04577936274509788,0.054534362745098125,0.3544500000000035,0.10293734785152775,0.40735924769885967,0.3274804765377019,2.0
627,1.1496252499999997,1.0,6.190198515406815,-1.0406989999999965,-1.6823257994404213e-05,0.10497638031415862,20.07940421172638,0.03361379527801977,0.03361379527801977,0.3048000000000002,0.7361563517915309,-0.03333333333333333,0.2013345189559255,0.09041775857883806,0.6037989999999951,0.07221324203348757,12.591340302241456,0.6749449824775785,2.0
628,0.8346250000000026,0.9999999999972922,163.63713762785727,0.177799499999999,-5.856970484336506e-05,10.730260843396705,19.10270650980392,0.023276881674971002,0.023276881674971002,0.23965100000000028,0.696078431372549,0.03333333333333333,0.11434341315009573,0.0647538094363868,0.4874510000000001,0.05811021239555972,4.109487160258974,0.4446514391004041,8.0
629,2.9140500000000005,1.0,0.09649174585891143,5.635800000000003,-0.0016568268740938322,2.587577919261209,16.990772560165976,0.1505670488048748,0.1505670488048748,0.08039999999999914,0.6141078838174274,0.03333333333333333,0.3864772375811874,0.38141227098735264,5.249625499999999,0.05015142580199159,-1.6480885893561565,2.5582504812990376,4.0
630,0.6260500000000011,1.0,566.8743072341385,-0.6587999999999994,3.630193946738042e-05,11.716469057942957,20.471141425000003,0.014885793442055813,0.014885793442055813,0.1460000000000008,0.5714285714285714,0.1,0.059905299988807205,0.049880530047544766,0.317999750000002,0.05599470418620581,2.3914442049084577,0.30472918277566213,5.0
631,2.8385499999999997,1.0,4.5114761182547774e-05,5.340801000000006,-0.0016697717021444357,0.14826355732094978,17.16553561463415,0.1480693045296428,0.1480693045296428,0.14529999999999887,0.6024390243902439,0.03333333333333333,0.37312167504033494,0.369208121527173,5.267750250000001,0.08506797448858024,-1.7339966575129007,2.5416889203376924,4.0
632,3.402699750000001,1.0,0.010140133958469801,5.819249999999997,-0.0018669755829931098,0.2697302697311876,16.696159143646405,0.18153455265254576,0.18153455265254576,0.5731000000000002,0.5193370165745856,0.03333333333333333,0.48470811593996016,0.4755651751875352,6.038698999999999,0.10095985461704204,-1.951390831613465,3.0309297811575613,4.0
633,3.6227745000000002,1.0,0.0003768669920510867,7.1224995,-0.002049222958957831,0.02123781643224661,15.260505897297298,0.1877623275268328,0.1877623275268328,0.041700000000000514,0.7513513513513513,0.16666666666666666,0.5371770029630064,0.5282511661337166,0.09389999999999965,0.0760517572884935,-0.484467277934002,2.865348106513499,4.0
634,0.9539500000000007,0.9999871204975339,192.60570599992363,0.5276999999999958,-0.000563409370708878,0.06722382093146478,19.31582629910714,0.02644097638308653,0.02644097638308653,0.3672494999999998,0.4017857142857143,0.03333333333333333,0.1024715212988048,0.08266723304617205,0.7300252500000006,0.057605872214007856,0.6277876249881715,0.5107293069944936,1.0
635,0.7951505000000019,1.0,0.035407590892514745,-0.9242489999999961,8.710712946001964e-05,5.253562107399492,20.41301646743295,0.019369331883355295,0.019369331883355295,0.21870100000000292,0.5057471264367817,-0.03333333333333333,0.08508057859080359,0.055315772682426254,0.5188009999999998,0.066531913371062,2.024815524610032,0.3953864906981057,2.0
636,1.0838750000000008,1.0,380.88346297712064,-1.3694975000000014,7.319212274545731e-05,18.141858141817316,20.316255790697678,0.02662180687296763,0.02662180687296763,0.2559020000000025,0.6013289036544851,0.03333333333333333,0.12774007809282117,0.07431271899668705,0.5278979999999969,0.05836683838597975,5.16440663530954,0.5408554380417638,2.0
637,0.8029502499999985,1.0,46.865916742338115,-1.3825000000000003,9.29500382834973e-05,5.608186915432116,20.420046928366762,0.02033514622280131,0.02033514622280131,0.18009999999999948,0.6876790830945558,-0.16666666666666666,0.11243208582226027,0.060855735706448866,0.3614999999999995,0.09012067548218224,7.81979505661681,0.41524464016480284,5.0
638,1.0304494999999996,1.0,0.07605711112499132,-1.1775990000000007,-4.32379316353745e-05,0.5619130869150104,20.327286465686274,0.02665219871034772,0.02665219871034772,0.24034950000000066,0.553921568627451,-0.1,0.10983615042616518,0.09295795968094364,0.5024757499999986,0.052081364469596325,2.1870580736665928,0.5417668781256324,0.0
639,0.5344750000000005,0.9999999999313167,0.08885898134510099,-0.3467989999999972,7.883242159648048e-05,0.13423457034668038,20.485439290697673,0.01346039761413591,0.01346039761413591,0.16904899999999934,0.4418604651162791,0.1,0.04897399755093507,0.042534855356660295,0.3627762499999996,0.07665730697757675,0.5466918797595102,0.275742158153033,6.0
640,1.0834504999999996,1.0,57.71705691491121,-1.273599499999996,0.0001950685236512806,7.160314685298647,19.858060660714283,0.03181876004553136,0.03181876004553136,0.2587500000000009,0.6607142857142857,-0.16666666666666666,0.17483134858781704,0.09695377517301586,0.6357989999999987,0.1354107368895742,6.221925249051784,0.6318588671328736,5.0
