,Unnamed: 0,amplitude,anderson_darling,autocor_length,beyond1Std,con,eta_e,fluxPercentileRatioMid20,fluxPercentileRatioMid35,fluxPercentileRatioMid50,fluxPercentileRatioMid65,fluxPercentileRatioMid80,gskew,id,linearTrend,maxSlope,mean,meanVariance,mean_variance,medianAbsDev,medianBRP,pairSlopeTrend,percentAmplitude,percentDifferenceFluxPercentile,q31,rcs,skew,smallKurtosis,std,tag
0,0,0.6306989999999981,1.0,1,0.0,0.0,69.3128316822517,0.0855185339441912,0.1824253783145912,0.2823809523809531,0.3591559072608592,0.536443148688048,-1.7737989999999968,CSS1611101400424116462,-0.00022954073109413448,0.029790819304089694,18.7100117421875,0.02486922764086551,0.02486922764086551,0.09690050000000028,0.90625,-0.16666666666666666,0.17448201069862662,0.038388872886863316,0.19927450000000133,0.08000459937720501,-5.058187648211304,32.983251496438086,0.4653035411797276,3.0
1,1,0.13762474999999874,0.7895494106430696,1,0.3461538461538461,0.0,4.2278787266763456e-05,0.18311408850994185,0.3191230207064599,0.40194478278521545,0.5728786033292761,0.7568087697929351,0.06610049999999745,CSS1611101210274176502,0.00013642782571676436,4.513099727716508,16.709866288461534,0.004495437064609305,0.004495437064609305,0.04949949999999959,0.3557692307692308,-0.03333333333333333,0.013736076945636435,0.014741529456125634,0.09767375000000199,0.09266322046842476,0.485676143286565,0.2747241331636845,0.07511815225781551,4.0
2,2,4.2505497499999985,1.0,1,0.0,0.0,1.8487868197681253e-07,0.023911218760509587,0.05026041071728112,0.06522264852951595,0.9654000987926018,0.9837710719967954,-7.570050500000009,CSS1611101150154137989,-0.010853226232313514,0.03810497512437811,18.777833044642858,0.17620258815285272,0.17620258815285272,0.2547494999999991,0.7857142857142857,0.16666666666666666,0.3955290554674951,0.4137890887190298,0.5495002499999977,0.13481669650220235,-1.3791544941412293,0.03222858017781993,3.308702782368234,4.0
3,3,0.03492500000000032,0.9995648442535644,1,0.3088235294117647,0.0,281.7820921088762,0.06373292867983017,0.1198786039453602,0.30804248861915223,0.4324734446130602,0.6616084977238089,-0.0015500000000017169,CSS1611091630244128695,2.011256102273177e-05,0.2197829643219163,13.854692647058823,0.0012313188188354464,0.0012313188188354464,0.009949999999999015,0.3970588235294117,-0.1,0.0028649986649250444,0.0047557534513492155,0.02047500000000113,0.14240904807013174,-0.3085041744318172,0.28165706906782395,0.01705954378550462,4.0
4,4,2.0075502499999995,1.0,1,0.0,0.0,3.8916532783700695,0.04884067945805918,0.08269232280657704,0.11704921456328055,0.23398727447675946,0.4263173790856347,-3.3771970000000024,CSS1611091600294129774,-0.00223338360443107,0.11491295986291215,20.377661083333333,0.043967425492029914,0.043967425492029914,0.10469949999999884,0.8611111111111112,0.16666666666666666,0.1827669426519372,0.08625220221167676,0.2141744999999986,0.13031931106827746,-3.096476726552128,9.863779613505221,0.8959532953832958,2.0
5,5,1.1723499999999998,1.0,1,0.0,0.0,0.03527090999789075,0.14466647903180205,0.2576695750070359,0.3727835631860414,0.4673515339150025,0.7133422459893042,-1.6301030000000054,CSS1611091210484112960,-0.0006414173926308457,0.03994550744381433,20.660240404411766,0.019927233998472942,0.019927233998472942,0.1214999999999975,0.8235294117647058,0.03333333333333333,0.11062791358536038,0.034266341285911696,0.26272499999999965,0.0807316677996624,-3.667610428981472,17.642330448889307,0.4117014450034184,5.0
6,6,1.5538000000000007,1.0,1,0.0,0.0,62.9462613353329,0.0696043840880307,0.1228771669359428,0.1865425090607414,0.2538312737435053,0.4181476791406488,-2.580250999999997,CSS1611091120214135441,-0.0012404601521317875,20.019955044568967,20.305510945312506,0.03347144778503052,0.03347144778503052,0.21054950000000086,0.796875,-0.1,0.15020400602512413,0.1116354117411926,0.42595175000000296,0.12905931941879534,-2.678087490754081,7.695612481455351,0.6796548493543929,5.0
7,7,0.6876005000000003,0.9999937042985634,1,0.0,0.0,2779.2043846298993,0.11101149237916597,0.2267503464015011,0.3331958594832481,0.4204099763631943,0.6723465645121862,0.3792994999999948,CSS1611091120214104142,0.0002408735435729893,37.54342016493225,19.4440094140625,0.016765109195889506,0.016765109195889506,0.1927500000000002,0.46875,-0.1,0.0549489638107019,0.06324878853490053,0.4023729999999972,0.07189977214328035,0.7366084067392372,0.9172447623332968,0.3259809410326613,4.0
8,8,2.215149750000002,1.0,1,0.0,0.0,1.8699619416119375,0.1371849903803408,0.2345374239541112,0.31893439876598434,0.5458856725016803,0.8715643695382372,-3.797999000000004,CSS1611091010464105145,-0.0021972993276656613,0.5294876704541833,20.34596525,0.04765630340814346,0.04765630340814346,0.15830050000000107,0.8472222222222222,0.03333333333333333,0.20097282919742013,0.04607428519596015,0.303449999999998,0.1898314106959145,-3.4896517460674636,12.435172531041903,0.9696134930855432,2.0
9,9,1.488450000000002,1.0,1,0.0,0.0,251.38938899101487,0.1755722724105314,0.2762459824724373,0.4438664710137337,0.6188595731705812,0.7118250988690844,-2.4959020000000085,CSS1611081550304129645,-0.0009969674104451846,0.7608051854844728,20.43521025,0.02984703507448921,0.02984703507448921,0.20214999999999786,0.7222222222222222,0.2333333333333333,0.1426763046319516,0.05854214323550892,0.5326260000000005,0.10818585728799253,-3.0026541482793814,11.036576726848303,0.6099304370863114,5.0
