,error,filename
59,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1212061100604112007
60,index 19 is out of bounds for axis 0 with size 19,/home/aibsen/LC-Classification-Prediction/data1/1212041140644112014
61,index 12 is out of bounds for axis 0 with size 12,/home/aibsen/LC-Classification-Prediction/data1/1209251100034105608
62,index 8 is out of bounds for axis 0 with size 8,/home/aibsen/LC-Classification-Prediction/data1/1209210010034114517
63,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1206130071904118785
64,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1206091131424115203
65,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1205250081754115378
66,index 15 is out of bounds for axis 0 with size 15,/home/aibsen/LC-Classification-Prediction/data1/1205250081754101115
67,index 13 is out of bounds for axis 0 with size 13,/home/aibsen/LC-Classification-Prediction/data1/1205220001834113227
68,index 14 is out of bounds for axis 0 with size 14,/home/aibsen/LC-Classification-Prediction/data1/1205191261034105426
69,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1205140152104124659
70,index 10 is out of bounds for axis 0 with size 10,/home/aibsen/LC-Classification-Prediction/data1/1205140001704105396
71,index 7 is out of bounds for axis 0 with size 7,/home/aibsen/LC-Classification-Prediction/data1/1204181141304119101
72,index 19 is out of bounds for axis 0 with size 19,/home/aibsen/LC-Classification-Prediction/data1/1204180041934107703
73,index 18 is out of bounds for axis 0 with size 18,/home/aibsen/LC-Classification-Prediction/data1/1204011021794108905
74,index 7 is out of bounds for axis 0 with size 7,/home/aibsen/LC-Classification-Prediction/data1/1203291171174100953
75,index 16 is out of bounds for axis 0 with size 16,/home/aibsen/LC-Classification-Prediction/data1/1203291001584113624
76,index 13 is out of bounds for axis 0 with size 13,/home/aibsen/LC-Classification-Prediction/data1/1203290091754116150
77,index 10 is out of bounds for axis 0 with size 10,/home/aibsen/LC-Classification-Prediction/data1/1203281240974102222
78,index 11 is out of bounds for axis 0 with size 11,/home/aibsen/LC-Classification-Prediction/data1/1203281171184113019
79,index 13 is out of bounds for axis 0 with size 13,/home/aibsen/LC-Classification-Prediction/data1/1203241071654110358
80,index 11 is out of bounds for axis 0 with size 11,/home/aibsen/LC-Classification-Prediction/data1/1203171071614102468
81,index 6 is out of bounds for axis 0 with size 6,/home/aibsen/LC-Classification-Prediction/data1/1203151041504111209
82,index 6 is out of bounds for axis 0 with size 6,/home/aibsen/LC-Classification-Prediction/data1/1203151041484101986
83,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1203151031494107829
84,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1203151021494116492
85,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1203151021494112746
86,index 13 is out of bounds for axis 0 with size 13,/home/aibsen/LC-Classification-Prediction/data1/1203151011504114156
87,index 11 is out of bounds for axis 0 with size 11,/home/aibsen/LC-Classification-Prediction/data1/1202291051464102038
88,index 7 is out of bounds for axis 0 with size 7,/home/aibsen/LC-Classification-Prediction/data1/1202251181074121780
89,index 7 is out of bounds for axis 0 with size 7,/home/aibsen/LC-Classification-Prediction/data1/1202251181074118356
90,index 7 is out of bounds for axis 0 with size 7,/home/aibsen/LC-Classification-Prediction/data1/1202251181074116422
91,index 7 is out of bounds for axis 0 with size 7,/home/aibsen/LC-Classification-Prediction/data1/1202251181074106884
92,index 14 is out of bounds for axis 0 with size 14,/home/aibsen/LC-Classification-Prediction/data1/1202250071894114134
93,index 8 is out of bounds for axis 0 with size 8,/home/aibsen/LC-Classification-Prediction/data1/1202241161394113366
94,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1202231211014105644
95,index 18 is out of bounds for axis 0 with size 18,/home/aibsen/LC-Classification-Prediction/data1/1202011111244111269
96,index 18 is out of bounds for axis 0 with size 18,/home/aibsen/LC-Classification-Prediction/data1/1202011101264107143
97,index 11 is out of bounds for axis 0 with size 11,/home/aibsen/LC-Classification-Prediction/data1/1201261180564102321
98,index 15 is out of bounds for axis 0 with size 15,/home/aibsen/LC-Classification-Prediction/data1/1201191011564113921
99,index 15 is out of bounds for axis 0 with size 15,/home/aibsen/LC-Classification-Prediction/data1/1201011091234110689
100,index 15 is out of bounds for axis 0 with size 15,/home/aibsen/LC-Classification-Prediction/data1/1112281340894105537
101,index 18 is out of bounds for axis 0 with size 18,/home/aibsen/LC-Classification-Prediction/data1/1111241280434104644
102,index 8 is out of bounds for axis 0 with size 8,/home/aibsen/LC-Classification-Prediction/data1/1111231230464108997
103,index 18 is out of bounds for axis 0 with size 18,/home/aibsen/LC-Classification-Prediction/data1/1110311030264111773
104,index 16 is out of bounds for axis 0 with size 16,/home/aibsen/LC-Classification-Prediction/data1/1110240083244114335
105,index 12 is out of bounds for axis 0 with size 12,/home/aibsen/LC-Classification-Prediction/data1/1110201150524112240
106,index 15 is out of bounds for axis 0 with size 15,/home/aibsen/LC-Classification-Prediction/data1/1110190142924112548
107,index 15 is out of bounds for axis 0 with size 15,/home/aibsen/LC-Classification-Prediction/data1/1110190142924108450
108,index 14 is out of bounds for axis 0 with size 14,/home/aibsen/LC-Classification-Prediction/data1/1110190142924102073
109,index 16 is out of bounds for axis 0 with size 16,/home/aibsen/LC-Classification-Prediction/data1/1109271130594105824
110,index 19 is out of bounds for axis 0 with size 19,/home/aibsen/LC-Classification-Prediction/data1/1106240011804106756
111,index 14 is out of bounds for axis 0 with size 14,/home/aibsen/LC-Classification-Prediction/data1/1105081141174118312
112,index 16 is out of bounds for axis 0 with size 16,/home/aibsen/LC-Classification-Prediction/data1/1105081141174110609
113,index 13 is out of bounds for axis 0 with size 13,/home/aibsen/LC-Classification-Prediction/data1/1104290021654115494
114,index 13 is out of bounds for axis 0 with size 13,/home/aibsen/LC-Classification-Prediction/data1/1104050041644119317
115,index 11 is out of bounds for axis 0 with size 11,/home/aibsen/LC-Classification-Prediction/data1/1104050041634101486
116,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1104050011614102460
117,index 14 is out of bounds for axis 0 with size 14,/home/aibsen/LC-Classification-Prediction/data1/1103091121604101143
118,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1103021101294111207
119,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1103021091344113112
120,index 17 is out of bounds for axis 0 with size 17,/home/aibsen/LC-Classification-Prediction/data1/1101281101234107306
121,index 16 is out of bounds for axis 0 with size 16,/home/aibsen/LC-Classification-Prediction/data1/1101251240504109430
122,index 16 is out of bounds for axis 0 with size 16,/home/aibsen/LC-Classification-Prediction/data1/1012131090284108154
123,index 19 is out of bounds for axis 0 with size 19,/home/aibsen/LC-Classification-Prediction/data1/1011111110364103769
124,index 16 is out of bounds for axis 0 with size 16,/home/aibsen/LC-Classification-Prediction/data1/1011061030294112093
125,index 10 is out of bounds for axis 0 with size 10,/home/aibsen/LC-Classification-Prediction/data1/1010310112914117461
126,index 18 is out of bounds for axis 0 with size 18,/home/aibsen/LC-Classification-Prediction/data1/1009161180354105422
127,index 16 is out of bounds for axis 0 with size 16,/home/aibsen/LC-Classification-Prediction/data1/1009110093224204368
128,index 16 is out of bounds for axis 0 with size 16,/home/aibsen/LC-Classification-Prediction/data1/1009050053104119149
129,index 18 is out of bounds for axis 0 with size 18,/home/aibsen/LC-Classification-Prediction/data1/1005190041664104312
130,index 13 is out of bounds for axis 0 with size 13,/home/aibsen/LC-Classification-Prediction/data1/1004141041714100837
