CRTS ID,RA (J2000),Dec (J2000),UT Date,Mag,CSS images,SDSS,Others,Followed,Last,LC,FC,Classification,SubClassification
MLS160516:083047+185708,127.69550, 18.95223,20160516.16,18.94,1605161181134107630,yes,10763,no,2016-06-12,10763,yes,AGN," SDSS mag 19,7    "
MLS160512:110857+094752,167.23799,  9.79768,20160512.22,19.96,1605121101534101272,yes,10127,no,2016-05-12,10127,yes,SN," SDSS mag 21,3    "
MLS160512:110807+075842,167.02985,  7.97840,20160512.20,17.84,1605121081544107844,yes,10784,no,2016-05-29,10784,yes,SN, SDSS mag >22    
MLS160511:113459+072306,173.74659,  7.38495,20160511.19,21.24,1605111071604111609,yes,11160,no,2016-06-06,11160,yes,Unknown, SDSS mag >22    
MLS160511:113909+055906,174.78564,  5.98505,20160511.19,21.20,1605111051614108518,yes,10851,no,2016-05-11,10851,yes,Unknown, SDSS mag >22    
MLS160511:111941+062118,169.92109,  6.35490,20160511.15,18.62,1605111051574119831,yes,11983,no,2016-05-11,11983,yes,Unknown," SDSS mag 19,6    "
MLS160511:112133+053604,170.38670,  5.60108,20160511.15,19.39,1605111051574103713,yes,10371,no,2016-05-11,10371,yes,AGN," SDSS mag 19,8    "
MLS160511:105942+060427,164.92389,  6.07419,20160511.17,20.67,1605111051524112966,yes,11296,no,2016-05-11,11296,yes,SN," SDSS mag 21,5    "
MLS160511:113524+051116,173.84936,  5.18772,20160511.19,19.60,1605111041614112209,yes,11220,no,2016-05-11,11220,yes,AGN," SDSS mag 20,4    "
MLS160511:110058+040826,165.23964,  4.14050,20160511.17,20.79,1605111031534116660,yes,11666,no,2016-05-11,11666,yes,SN?," SDSS mag 21,9    "
MLS160511:105611+031931,164.04384,  3.32540,20160511.17,19.66,1605111031524101557,yes,10155,no,2016-05-11,10155,yes,AGN," SDSS mag 20,0    "
MLS160511:105405+040118,163.52291,  4.02167,20160511.18,21.33,1605111031514113625,yes,11362,no,2016-05-11,11362,yes,Unknown, SDSS mag >22    
MLS160511:125704-081751,194.26533, -8.29760,20160511.25,20.68,1605110081794107753,no,10775,no,2016-05-11,10775,yes,AGN, SDSS mag 22    
MLS160511:124642-051516,191.67471, -5.25450,20160511.23,19.85,1605110041774103762,yes,10376,no,2016-05-11,10376,yes,SN," mag 20,5     "
MLS160511:130116-041156,195.31674, -4.19880,20160511.21,20.66,1605110031814103206,no,10320,no,2016-05-11,10320,yes,AGN," SDSS mag 22,0    "
MLS160511:125320-040444,193.33325, -4.07902,20160511.22,20.68,1605110031794105672,no,10567,no,2016-05-11,10567,yes,Unknown," mag 21,7     "
MLS160511:124758-033236,191.99252, -3.54334,20160511.23,20.70,1605110031784117465,yes,11746,no,2016-05-11,11746,yes,AGN," SDSS mag 21,8    "
MLS160511:133210-022745,203.04239, -2.46252,20160511.27,20.25,1605110021884117589,yes,11758,no,2016-05-31,11758,yes,Var," SDSS mag 21,3    "
MLS160510:084556+192034,131.48391, 19.34283,20160510.15,20.33,1605101181164115011,yes,11501,no,2016-06-12,11501,yes,AGN," SDSS mag 20,9    "
MLS160510:085017+173250,132.57262, 17.54717,20160510.14,19.35,1605101171184104633,yes,10463,no,2016-05-10,10463,yes,Unknown," SDSS mag 19,9    "
MLS160510:085209+162850,133.03555, 16.48053,20160510.14,20.46,1605101161194104503,yes,10450,no,2016-06-03,10450,yes,AGN," SDSS mag 21,0    "
MLS160510:112917+140005,172.32071, 14.00138,20160510.24,20.73,1605101131564118417,yes,11841,no,2016-05-10,11841,yes,SN," SDSS mag 21,6    "
MLS160510:114256+125001,175.73136, 12.83372,20160510.22,21.32,1605101121604120096,yes,12009,no,2016-06-06,12009,yes,SN?, SDSS mag >22    
MLS160510:104509+062036,161.28817,  6.34336,20160510.19,19.44,1605101051494115290,yes,11529,no,2016-06-14,11529,yes,AGN," SDSS mag 19,8    "
MLS160510:125850-025603,194.70863, -2.93423,20160510.29,20.61,1605100021814106336,yes,10633,no,2016-05-10,10633,yes,AGN," mag 22,0     "
MLS160510:125852-030126,194.71459, -3.02378,20160510.29,19.31,1605100021814104578,yes,10457,no,2016-05-10,10457,yes,AGN," SDSS mag 20,1    "
MLS160509:115620+020011,179.08384,  2.00292,20160509.15,21.14,1605091011664120166,yes,12016,no,2016-05-09,12016,yes,AGN," SDSS mag 22,3    "
MLS160509:115258+014026,178.24102,  1.67379,20160509.15,20.23,1605091011654111215,yes,11121,no,2016-05-09,11121,yes,AGN," SDSS mag 20,8    "
MLS160509:115132+011512,177.88318,  1.25333,20160509.15,19.92,1605091011654103335,yes,10333,no,2016-05-09,10333,yes,SN," SDSS mag 21,5    "
MLS160509:114747+014036,176.94789,  1.67674,20160509.15,20.50,1605091011644110717,yes,11071,no,2016-05-09,11071,yes,AGN," SDSS mag 21,7    "
MLS160509:150714-134414,226.80676,-13.73725,20160509.33,19.86,1605090132054108133,no,10813,no,2016-05-09,10813,yes,CV," mag 21,3     "
MLS160509:144034-130627,220.14222,-13.10755,20160509.31,20.07,1605090131994123062,no,12306,no,2016-05-09,12306,yes,AGN," mag 21,5     "
MLS160509:150359-093849,225.99433, -9.64688,20160509.35,20.49,1605090092074102469,yes,10246,no,2016-05-09,10246,yes,AGN," SDSS mag 20,7    "
MLS160509:134304-085927,205.76474, -8.99076,20160509.23,20.83,1605090091894114120,no,11412,no,2016-05-09,11412,yes,AGN," SDSS mag 21,0    "
MLS160509:133505-085432,203.76880, -8.90890,20160509.23,19.52,1605090091874115104,no,11510,no,2016-05-09,11510,yes,AGN," SDSS mag 20,0    "
MLS160509:133047-093752,202.69515, -9.63101,20160509.21,19.28,1605090091864102543,no,10254,no,2016-05-09,10254,yes,AGN," SDSS mag 20,0    "
MLS160509:132805-085516,202.02216, -8.92122,20160509.21,20.75,1605090091854116113,no,11611,no,2016-05-09,11611,yes,AGN," SDSS mag 21,8    "
MLS160509:134427-081253,206.11157, -8.21472,20160509.23,20.54,1605090081894108469,no,10846,no,2016-05-09,10846,yes,AGN," SDSS mag 21,7    "
MLS160509:130905-055829,197.27031, -5.97486,20160509.19,20.83,1605090051824112201,no,11220,no,2016-05-09,11220,yes,Unknown," mag 22,0     "
MLS160509:144624-040741,221.59978, -4.12819,20160509.27,19.76,1605090032054104221,no,10422,no,2016-05-09,10422,yes,SN," mag 20,5     "
MLS160508:112626+044825,171.60664,  4.80685,20160508.15,15.86,1605081041594107497,yes,10749,no,2016-05-08,10749,yes,Var, MLS_J11262      
MLS160508:112226+051511,170.60832,  5.25311,20160508.15,20.80,1605081041584115651,yes,11565,no,2016-05-08,11565,yes,AGN," SDSS mag 20,7    "
MLS160508:114209+040804,175.53940,  4.13454,20160508.17,20.05,1605081031624116049,yes,11604,no,2016-05-08,11604,yes,AGN," SDSS mag 20,5    "
MLS160508:113342+032335,173.42708,  3.39297,20160508.15,21.03,1605081031604102632,yes,10263,no,2016-05-08,10263,yes,Unknown," mag >22,5     "
MLS160508:125841-085223,194.67262, -8.87303,20160508.21,21.22,1605080091784117569,no,11756,no,2016-05-08,11756,yes,AGN," SDSS mag 22,2    "
MLS160508:115503-002534,178.76104, -0.42607,20160508.19,20.60,1605080001664112038,yes,11203,no,2016-05-08,11203,yes,AGN," SDSS mag 21,7    "
MLS160508:114947-001623,177.44570, -0.27309,20160508.19,20.78,1605080001654115499,yes,11549,no,2016-05-08,11549,yes,AGN," SDSS mag 21,0    "
MLS160508:114929-001739,177.37097, -0.29428,20160508.19,19.49,1605080001654115154,yes,11515,no,2016-05-08,11515,yes,AGN," SDSS mag 20,1    "
MLS160505:161647+080221,244.19684,  8.03905,20160505.43,19.53,1605051082244109900,yes,10990,no,2016-05-05,10990,yes,AGN," SDSS mag 20,1    "
MLS160505:115602+054034,179.00963,  5.67619,20160505.23,21.53,1605051051654105369,yes,10536,no,2016-05-05,10536,yes,Unknown, SDSS mag >22    
MLS160505:115055+021825,177.72723,  2.30702,20160505.23,16.43,1605051021654103343,yes,10334,no,2016-05-05,10334,yes,SN," (2016cbx) SDSS mag 18,1   "
MLS160503:113027+135340,172.61371, 13.89438,20160503.19,18.74,1605031131564115820,yes,11582,no,2016-05-09,11582,yes,AGN," SDSS mag 20,5    "
MLS160503:112042+130815,170.17513, 13.13754,20160503.16,20.19,1605031131544102522,yes,10252,no,2016-05-03,10252,yes,Unknown," SDSS mag 21,7    "
MLS160503:111823+131943,169.59568, 13.32852,20160503.17,20.19,1605031131534105844,yes,10584,no,2016-05-03,10584,yes,Unknown," SDSS mag 22,5    "
MLS160503:112704+125204,171.76766, 12.86767,20160503.19,19.65,1605031121564114908,yes,11490,no,2016-05-03,11490,yes,AGN," SDSS mag 21,4    "
MLS160502:091744+155749,139.43220, 15.96357,20160502.23,20.97,1605021151254112050,yes,11205,no,2016-05-02,11205,yes,Unknown," SDSS mag 23,1    "
MLS160502:145845-175521,224.68547,-17.92237,20160502.38,20.08,1605020171994112770,no,11277,no,2016-05-08,11277,yes,AGN," mag 21,2     "
MLS160502:144724-174221,221.85041,-17.70593,20160502.38,16.23,1605020171964115536,no,11553,no,2016-05-02,11553,yes,HPM, GJ_3866      
MLS160430:150747-162755,226.94790,-16.46526,20160430.38,18.00,1604300162024120434,no,12043,no,2016-04-30,12043,yes,HPM, 2MASS_J15074      
MLS160430:145040-165642,222.66565,-16.94490,20160430.38,14.63,1604300161984107906,no,10790,no,2016-04-30,10790,yes,HPM, LHS_382      
MLS160427:150028-133309,225.11510,-13.55245,20160427.41,19.40,1604270132034110233,no,11023,no,2016-05-07,11023,yes,SN," (2016L) mag 14,2    "
MLS160427:143005-103748,217.52205,-10.62990,20160427.33,18.84,1604270101994103629,no,10362,no,2016-04-27,10362,yes,Blazar," mag 20,2     "
MLS160427:124225-085115,190.60304, -8.85420,20160427.22,21.00,1604270091754118740,yes,11874,no,2016-04-27,11874,yes,Unknown, mag 22     
MLS160427:144739-083326,221.91073, -8.55716,20160427.38,15.70,1604270082044102189,no,10218,no,2016-04-27,10218,yes,AGN," mag 16,5     "
MLS160426:104342+033024,160.92356,  3.50658,20160426.16,20.80,1604261031494104142,yes,10414,no,2016-06-14,10414,yes,Unknown," mag 22,0     "
MLS160426:111135+012803,167.89444,  1.46746,20160426.18,21.07,1604261011564106905,yes,10690,no,2016-04-26,10690,yes,Unknown, mag 22     
MLS160426:112302+000345,170.75943,  0.06256,20160426.20,18.67,1604261001584101253,yes,10125,no,2016-04-26,10125,yes,SN," SDSS mag 14,8    "
MLS160426:142624-133325,216.59891,-13.55704,20160426.33,18.75,1604260131954107417,no,10741,no,2016-04-26,10741,yes,SN?," mag 22,5     "
MLS160425:101312+090950,153.29891,  9.16388,20160425.21,18.24,1604251091414107432,yes,10743,no,2016-04-25,10743,yes,SN," (CSS160413) SDSS mag 20,2   "
MLS160419:082913+202548,127.30245, 20.43008,20160419.14,19.32,1604191201124113807,yes,11380,no,2016-06-12,11380,yes,AGN," SDSS mag 20,3    "
MLS160419:085448+172347,133.69927, 17.39633,20160419.16,19.67,1604191171194100979,yes,10097,no,2016-05-09,10097,yes,SN," SDSS mag 20,8    "
MLS160418:145129-005727,222.87116, -0.95748,20160418.45,20.27,1604180002074102199,yes,10219,no,2016-05-08,10219,yes,AGN," SDSS mag 20,8    "
MLS160415:113822+023837,174.59132,  2.64374,20160415.22,20.23,1604151021624108756,yes,10875,no,2016-05-07,10875,yes,SN," SDSS mag 22,5    "
MLS160415:121738+013429,184.40838,  1.57484,20160415.24,20.28,1604151011714108318,yes,10831,no,2016-04-15,10831,yes,SN," SDSS mag 21,5    "
MLS160414:123137+020741,187.90560,  2.12816,20160414.21,20.58,1604141011744117431,yes,11743,no,2016-04-14,11743,yes,Unknown," SDSS mag 21,2    "
MLS160414:111249+014944,168.20375,  1.82900,20160414.16,19.74,1604141011564114476,yes,11447,no,2016-04-25,11447,yes,AGN?," SDSS mag 20,9    "
MLS160414:130505-064531,196.26903, -6.75872,20160414.26,20.61,1604140071814114999,no,11499,no,2016-05-08,11499,yes,Unknown," mag 22,5     "
MLS160414:161304-060329,243.26785, -6.05792,20160414.42,21.19,1604140052244114186,no,11418,no,2016-04-14,11418,yes,Unknown," mag >22,5     "
MLS160414:134546-061925,206.44331, -6.32351,20160414.33,20.30,1604140051904103503,no,10350,no,2016-04-14,10350,yes,AGN," mag 20,5     "
MLS160414:125319-042329,193.32894, -4.39151,20160414.24,20.76,1604140041794117611,no,11761,no,2016-05-10,11761,yes,Unknown, mag 22     
MLS160414:135419-030944,208.58080, -3.16226,20160414.35,21.10,1604140021934102141,yes,10214,no,2016-04-14,10214,yes,Unknown," SDSS mag 22,5    "
MLS160414:123337-001405,188.40467, -0.23461,20160414.19,20.47,1604140001754116066,yes,11606,no,2016-04-14,11606,yes,AGN," SDSS mag 20,8    "
MLS160413:093732+160938,144.38192, 16.16064,20160413.16,20.70,1604131151294117923,yes,11792,no,2016-04-13,11792,yes,AGN, mag 22     
MLS160413:093600+154756,143.99965, 15.79875,20160413.16,21.19,1604131151294111737,yes,11173,no,2016-04-13,11173,yes,Unknown, mag >22     
MLS160413:093906+150213,144.77682, 15.03703,20160413.16,20.61,1604131141304119208,yes,11920,no,2016-04-13,11920,yes,AGN," SDSS mag 22,1    "
MLS160413:135229-125109,208.12236,-12.85257,20160413.38,19.98,1604130121894103691,no,10369,no,2016-05-08,10369,yes,SN, (AT2016awo) mag 18    
MLS160413:133306-124703,203.27680,-12.78423,20160413.38,20.05,1604130121854104787,no,10478,no,2016-04-13,10478,yes,AGN, mag 22     
MLS160410:124126-050658,190.35832, -5.11618,20160410.23,20.63,1604100041764106264,yes,10626,no,2016-05-10,10626,yes,SN," SDSS mag 22,6    "
MLS160406:123950-001315,189.95884, -0.22079,20160406.36,20.49,1604060001764115976,yes,11597,no,2016-04-06,11597,yes,SN," SDSS mag 22,5    "
MLS160404:052314+183304, 80.80810, 18.55104,20160404.13,20.30,1604041180714105552,yes,10555,no,2016-06-07,10555,yes,CV, mag >22     
MLS160404:100430+110919,151.12537, 11.15519,20160404.20,21.21,1604041111384106658,yes,10665,no,2016-04-04,10665,yes,Unknown, SDSS mag >22    
MLS160404:095033+112208,147.63591, 11.36885,20160404.20,20.79,1604041111354111497,yes,11149,no,2016-04-04,11149,yes,SN," SDSS mag 22,2    "
MLS160404:094929+114559,147.36969, 11.76643,20160404.20,20.58,1604041111344119732,yes,11973,no,2016-04-04,11973,yes,AGN," SDSS mag 22,3    "
MLS160404:094705+110626,146.77075, 11.10725,20160404.20,20.68,1604041111344105863,yes,10586,no,2016-04-04,10586,yes,AGN," SDSS mag 21,5    "
MLS160404:102409+095010,156.03863,  9.83624,20160404.18,18.90,1604041101434102193,yes,10219,no,2016-04-24,10219,yes,AGN," SDSS mag 19,8    "
MLS160404:101846+094936,154.69331,  9.82674,20160404.18,19.07,1604041101414101831,yes,10183,no,2016-04-04,10183,yes,SN," (PS16bmh) SDSS mag 21,2   "
MLS160404:130940+034717,197.41655,  3.78806,20160404.41,19.89,1604041031834110003,yes,11000,no,2016-04-04,11000,yes,AGN," SDSS mag 21,3    "
MLS160404:130351+034524,195.96456,  3.75658,20160404.41,20.60,1604041031814110094,yes,11009,no,2016-04-04,11009,yes,CV?," SDSS mag 20,6    "
MLS160404:163713+024304,249.30526,  2.71776,20160404.50,20.28,1604041022314119836,no,11983,no,2016-04-04,11983,yes,SN," mag 21,7     "
MLS160404:163427+020658,248.61252,  2.11614,20160404.48,20.22,1604041012304135876,no,13587,no,2016-04-04,13587,yes,AGN," SDSS mag 21,3    "
MLS160404:133332+015330,203.38461,  1.89155,20160404.40,20.33,1604041011894115936,yes,11593,no,2016-04-04,11593,yes,SN?," SDSS mag 21,2    "
MLS160404:134024+005646,205.10198,  0.94616,20160404.32,21.02,1604041001904123336,yes,12333,no,2016-04-04,12333,yes,Unknown," SDSS mag 22,2    "
MLS160404:134126+003354,205.35897,  0.56508,20160404.32,20.36,1604041001904114097,yes,11409,no,2016-04-04,11409,yes,SN," SDSS mag 21,5    "
MLS160404:132857+002903,202.23768,  0.48405,20160404.32,20.13,1604041001884111285,yes,11128,no,2016-04-25,11128,yes,AGN," SDSS mag 21,6    "
MLS160404:132754+004215,201.97516,  0.70421,20160404.32,21.53,1604041001874115806,yes,11580,no,2016-04-04,11580,yes,Unknown," SDSS mag 22,5    "
MLS160404:132641+002950,201.67153,  0.49713,20160404.32,20.82,1604041001874111650,yes,11165,no,2016-04-04,11165,yes,SN," SDSS mag 22,5    "
MLS160404:132236+005300,200.65124,  0.88334,20160404.32,20.80,1604041001864119872,yes,11987,no,2016-04-04,11987,yes,AGN?," SDSS mag 21,3    "
MLS160404:131508+003355,198.78320,  0.56537,20160404.32,20.47,1604041001844112953,yes,11295,no,2016-04-04,11295,yes,SN/AGN," SDSS mag 21,0    "
MLS160404:130718+001103,196.82299,  0.18419,20160404.32,20.40,1604041001834104405,yes,10440,no,2016-04-04,10440,yes,AGN," SDSS mag 21,3    "
MLS160404:130343+000727,195.93122,  0.12411,20160404.32,20.91,1604041001824103361,yes,10336,no,2016-04-04,10336,yes,Unknown," SDSS mag 21,7    "
MLS160404:152516-135548,231.31641,-13.93001,20160404.44,19.11,1604040132094104721,yes,10472,no,2016-04-04,10472,yes,Var," mag 19,6     "
MLS160403:103500+093339,158.74946,  9.56077,20160403.18,20.37,1604031091464119786,yes,11978,no,2016-04-03,11978,yes,Blazar, 87GB_103221      
MLS160403:103422+074427,158.59238,  7.74087,20160403.18,21.26,1604031081464103272,yes,10327,no,2016-04-24,10327,yes,Unknown," SDSS mag 22,3    "
MLS160403:120346+054456,180.93979,  5.74879,20160403.21,21.18,1604031051674106227,yes,10622,no,2016-04-03,10622,yes,Unknown," SDSS mag 22,0    "
MLS160402:105909+044933,164.78655,  4.82591,20160402.19,20.55,1604021041524109579,yes,10957,no,2016-05-10,10957,yes,AGN," SDSS mag 20,8    "
MLS160402:130605-102821,196.52011,-10.47254,20160402.40,20.66,1604020101804107301,no,10730,no,2016-04-25,10730,yes,AGN," SDSS mag 21,5    "
MLS160401:094928+195206,147.36856, 19.86847,20160401.22,20.04,1604011201294106975,yes,10697,no,2016-05-31,10697,yes,AGN," SDSS mag 21,4    "
MLS160401:075136+183706,117.89893, 18.61839,20160401.19,20.97,1604011181044104978,yes,10497,no,2016-04-17,10497,yes,AGN," SDSS mag 22,5    "
MLS160401:112859+035828,172.24580,  3.97449,20160401.26,20.75,1604011031594114612,yes,11461,no,2016-05-07,11461,yes,AGN," SDSS mag 21,8    "
MLS160401:112203+040109,170.51192,  4.01924,20160401.26,20.67,1604011031584115085,yes,11508,no,2016-05-07,11508,yes,AGN," SDSS mag 21,1    "
